name,quadrant,ring,isNew,description
Vue.JS,languages-and-frameworks,Adopt,FALSE,"<p>Vue is a progressive framework for building user interfaces. Unlike other monolithic frameworks, Vue is designed from the ground up to be incrementally adoptable.</p>"
React,languages-and-frameworks,Adopt,FALSE,"<p>React makes it painless to create interactive UIs. Design simple views for each state in your application, and React will efficiently update and render just the right components when your data changes.</p>"
Functional Programing,Techniques,Adopt,TRUE,"<p>In computer science, functional programming is a programming paradigm—a style of building the structure and elements of computer programs—that treats computation as the evaluation of mathematical functions and avoids changing-state and mutable data.</p>"
Firebase,Tools,Adopt,TRUE,"<p>Firebase is Google's mobile platform that helps you quickly develop high-quality apps and grow your business.</p>"
PWA,Techniques,Adopt,TRUE,"<p>A progressive web application (PWA) is a type of application software delivered through the web, built using common web technologies including HTML, CSS and JavaScript. It is intended to work on any platform that uses a standards-compliant browser.</p>"
RxJS,languages-and-frameworks,Trial,TRUE,"<p>RxJS is a library for reactive programming using Observables, to make it easier to compose asynchronous or callback-based code.</p>"
JAM stack,Techniques,Assess,TRUE,"<p>JAMstack stands for JavaScript, APIs, and Markup. The term was coined by Mathias Biilmann to describe a modern web development architecture</p>"
Platforms,Platforms,Hold,FALSE,"<p>dummy</p>"
